Percent Change Rating,Bullish or Bearish,Volume Rating,Volatility,Gains or Loses Tomorrow
1,Bullish,0,3,Gains
1,Bullish,0,3,Gains
1,Bullish,0,1,Gains
1,Bullish,0,1,Loses
1,Bullish,0,2,Loses
1,Bullish,0,1,Loses
1,Bullish,0,1,Loses
1,Bullish,0,3,Loses
1,Bullish,0,3,Loses
1,Bullish,0,1,Loses
1,Bullish,0,2,Loses
1,Bullish,0,0,Gains
1,Bullish,0,3,Gains
1,Bullish,0,2,Loses
1,Bullish,0,2,Loses
1,Bullish,0,3,Loses
1,Bullish,0,1,Loses
1,Bullish,0,2,Loses
1,Bearish,0,2,Loses
1,Bearish,0,3,Gains
1,Bearish,0,1,Gains
1,Bearish,0,1,Loses
1,Bearish,0,1,Gains
1,Bearish,1,0,Gains
1,Bearish,0,1,Loses
1,Bearish,0,1,Loses
1,Bearish,0,0,Gains
1,Bearish,0,2,Loses
1,Bearish,0,3,Gains
1,Bearish,0,2,Gains
1,Bearish,0,1,Loses
1,Bearish,0,0,Gains
1,Bearish,0,1,Gains
1,Bearish,0,0,Loses
1,Bearish,0,1,Loses
1,Bearish,0,3,Gains
1,Bullish,0,3,Loses
1,Bearish,0,3,Loses
1,Bearish,0,3,Loses
1,Bearish,0,2,Loses
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bearish,0,1,Gains
1,Bearish,0,2,Gains
1,Bearish,0,3,Gains
1,Bullish,1,1,Gains
1,Bullish,1,3,Loses
1,Bullish,0,3,Gains
1,Bullish,0,3,Gains
1,Bullish,0,2,Loses
1,Bullish,0,1,Loses
1,Bullish,1,0,Loses
1,Bullish,1,2,Loses
1,Bullish,1,3,Loses
1,Bullish,1,1,Loses
1,Bullish,0,3,Loses
1,Bullish,1,0,Loses
1,Bullish,1,1,Loses
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bearish,3,1,Gains
1,Bearish,2,3,Gains
1,Bearish,1,2,Loses
1,Bearish,1,1,Gains
1,Bearish,1,0,Loses
1,Bearish,2,1,Gains
1,Bearish,2,1,Gains
1,Bearish,1,1,Gains
1,Bullish,1,2,Loses
1,Bearish,2,3,Gains
1,Bearish,1,3,Loses
1,Bearish,1,1,Gains
1,Bearish,1,1,Gains
1,Bearish,1,0,Gains
1,Bearish,1,1,Gains
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bullish,1,3,Loses
1,Bearish,1,1,Loses
1,Bearish,1,3,Gains
1,Bullish,1,1,Gains
1,Bullish,0,1,Gains
1,Bearish,0,1,Gains
1,Bearish,1,1,Loses
1,Bullish,1,1,Loses
1,Bullish,1,2,Loses
1,Bullish,1,1,Loses
1,Bullish,1,1,Loses
1,Bearish,0,2,Gains
1,Bullish,0,3,Gains
1,Bearish,1,3,Loses
1,Bearish,0,0,Loses
1,Bearish,1,0,Gains
1,Bearish,1,1,Loses
1,Bullish,1,0,Loses
1,Bearish,0,2,Loses
1,Bearish,1,2,Loses
1,Bullish,1,1,Loses
1,Bearish,1,2,Gains
1,Bearish,0,3,Gains
1,Bearish,1,1,Gains
1,Bearish,1,1,Gains
1,Bearish,1,0,Gains
1,Bullish,1,1,Gains
1,Bullish,1,1,Loses
1,Bullish,1,1,Gains
1,Bullish,2,2,Loses
1,Bullish,2,1,Gains
1,Bullish,1,2,Loses
1,Bearish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,1,Loses
1,Bearish,1,1,Gains
1,Bearish,1,2,Gains
1,Bearish,1,1,Gains
1,Bearish,0,3,Gains
1,Bearish,1,1,Loses
1,Bearish,1,2,Loses
1,Bearish,1,0,Gains
1,Bearish,1,2,Gains
1,Bearish,1,1,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bullish,1,2,Loses
1,Bearish,1,0,Gains
1,Bullish,1,3,Loses
1,Bullish,1,3,Loses
1,Bearish,1,1,Gains
1,Bullish,1,1,Gains
1,Bullish,0,2,Gains
1,Bullish,1,2,Loses
1,Bullish,0,1,Gains
1,Bullish,0,1,Loses
1,Bullish,1,0,Loses
1,Bullish,0,2,Loses
1,Bearish,1,1,Gains
1,Bullish,0,0,Loses
1,Bullish,0,2,Loses
1,Bullish,0,1,Loses
1,Bullish,0,2,Gains
1,Bullish,1,0,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bearish,1,2,Gains
1,Bullish,2,2,Gains
1,Bearish,1,2,Loses
1,Bullish,1,3,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bullish,1,3,Loses
1,Bearish,1,2,Gains
1,Bullish,1,2,Loses
1,Bearish,1,3,Gains
1,Bullish,1,2,Loses
1,Bearish,1,1,Gains
1,Bullish,1,1,Loses
1,Bearish,1,1,Loses
1,Bullish,1,1,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bearish,1,1,Gains
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bullish,1,1,Gains
1,Bearish,1,1,Gains
1,Bullish,1,1,Gains
1,Bullish,1,2,Loses
1,Bearish,1,2,Loses
1,Bullish,1,1,Loses
1,Bearish,1,1,Gains
1,Bullish,1,2,Loses
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bearish,2,2,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bullish,1,0,Loses
1,Bearish,1,2,Loses
1,Bullish,1,2,Loses
1,Bearish,2,1,Loses
1,Bearish,2,1,Gains
1,Bearish,1,2,Loses
1,Bearish,1,0,Gains
1,Bearish,1,1,Gains
1,Bearish,1,2,Loses
1,Bullish,1,0,Loses
1,Bearish,2,0,Gains
1,Bearish,1,3,Loses
1,Bullish,1,2,Loses
1,Bearish,1,2,Gains
1,Bearish,1,0,Gains
1,Bearish,1,3,Gains
1,Bearish,1,1,Gains
1,Bearish,1,2,Loses
1,Bullish,2,1,Gains
1,Bullish,1,0,Loses
1,Bullish,1,1,Loses
1,Bullish,1,2,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Gains
1,Bearish,1,3,Loses
1,Bullish,1,2,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bullish,1,2,Loses
1,Bearish,1,1,Gains
1,Bullish,1,2,Loses
1,Bullish,1,3,Loses
1,Bullish,1,3,Loses
1,Bearish,1,3,Gains
1,Bearish,1,1,Gains
1,Bullish,1,3,Loses
1,Bullish,1,0,Gains
1,Bullish,1,3,Loses
1,Bullish,1,3,Gains
1,Bullish,1,0,Loses
1,Bullish,2,0,Loses
1,Bullish,1,1,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Gains
1,Bearish,1,1,Gains
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,2,Loses
1,Bullish,1,1,Loses
1,Bearish,1,1,Gains
1,Bearish,2,3,Gains
1,Bearish,1,3,Gains
1,Bearish,2,1,Gains
1,Bearish,2,2,Gains
1,Bearish,2,1,Gains
1,Bearish,1,2,Loses
1,Bearish,1,2,Loses
1,Bearish,1,2,Gains
1,Bearish,1,2,Loses
1,Bearish,2,1,Loses
1,Bearish,2,0,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bearish,2,2,Gains
1,Bearish,1,3,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bearish,1,1,Gains
1,Bullish,1,2,Gains
1,Bullish,1,1,Gains
1,Bearish,1,2,Gains
1,Bullish,1,2,Loses
1,Bullish,2,3,Loses
1,Bullish,2,3,Loses
1,Bullish,1,0,Loses
1,Bullish,1,3,Loses
1,Bearish,2,3,Gains
1,Bearish,2,2,Gains
1,Bullish,2,2,Loses
1,Bullish,1,2,Loses
1,Bearish,2,3,Loses
1,Bullish,1,2,Loses
1,Bullish,2,3,Loses
1,Bullish,2,3,Loses
1,Bearish,1,3,Gains
1,Bearish,1,0,Gains
1,Bearish,1,2,Gains
1,Bearish,1,3,Gains
1,Bearish,1,1,Gains
1,Bearish,1,2,Gains
1,Bullish,2,2,Loses
1,Bearish,2,2,Loses
1,Bullish,2,3,Gains
1,Bearish,2,3,Loses
1,Bullish,2,2,Gains
1,Bullish,2,1,Loses
1,Bearish,1,0,Gains
1,Bullish,1,1,Loses
1,Bearish,1,3,Gains
1,Bullish,1,3,Gains
1,Bearish,1,2,Gains
1,Bearish,1,2,Gains
1,Bearish,2,1,Gains
1,Bullish,3,2,Loses
1,Bullish,2,3,Gains
1,Bullish,2,3,Gains
1,Bullish,2,1,Loses
1,Bearish,2,3,Gains
1,Bearish,2,2,Gains
1,Bullish,1,3,Loses
1,Bullish,2,1,Loses
1,Bullish,1,3,Loses
1,Bullish,2,2,Loses
1,Bearish,1,3,Gains
1,Bullish,2,2,Loses
1,Bullish,2,3,Gains
1,Bullish,1,2,Gains
1,Bullish,1,2,Loses
1,Bullish,2,3,Loses
1,Bullish,2,0,Loses
1,Bullish,2,1,Loses
1,Bullish,2,0,Loses
1,Bearish,2,3,Loses
1,Bearish,2,0,Gains
1,Bearish,2,3,Loses
1,Bearish,2,3,Loses
1,Bearish,2,3,Gains
1,Bearish,2,2,Gains
1,Bearish,2,3,Gains
1,Bearish,2,1,Gains
1,Bearish,2,2,Loses
1,Bearish,3,0,Loses
1,Bearish,2,2,Loses
1,Bearish,2,0,Loses
1,Bearish,2,1,Loses
1,Bearish,2,2,Gains
1,Bearish,2,1,Gains
1,Bearish,2,3,Gains
1,Bearish,2,2,Gains
1,Bearish,2,2,Gains
1,Bearish,2,0,Gains
1,Bearish,1,1,Gains
1,Bearish,2,2,Gains
1,Bullish,2,1,Gains
1,Bullish,3,3,Gains
1,Bullish,2,3,Gains
1,Bullish,2,3,Loses
1,Bullish,2,1,Gains
1,Bullish,2,3,Loses
1,Bullish,2,3,Loses
1,Bullish,2,1,Loses
1,Bullish,2,1,Gains
1,Bullish,2,2,Loses
1,Bullish,3,1,Loses
1,Bullish,3,3,Gains
1,Bullish,3,3,Loses
1,Bullish,3,3,Loses
1,Bullish,3,2,Loses
1,Bullish,3,3,Loses
1,Bullish,3,3,Loses
1,Bullish,3,2,Gains
1,Bullish,3,3,Loses
1,Bullish,3,3,Loses
1,Bullish,3,2,Gains
1,Bullish,3,3,Loses
1,Bullish,3,1,Loses
1,Bullish,3,1,Loses
1,Bullish,3,3,Loses
1,Bullish,3,3,Loses
1,Bearish,3,2,Gains
1,Bearish,3,1,Loses
1,Bearish,3,3,Gains
1,Bearish,3,2,Gains
1,Bullish,3,1,Loses
1,Bullish,3,1,Gains
1,Bearish,3,2,Gains
1,Bullish,3,2,Loses
1,Bullish,3,3,Loses
1,Bearish,3,3,Gains
1,Bullish,3,2,Gains
1,Bullish,3,3,Gains
1,Bullish,3,3,Loses
1,Bullish,3,1,Loses
1,Bullish,3,3,Gains
1,Bullish,3,3,Loses
1,Bullish,3,2,Loses
1,Bullish,3,3,Gains
1,Bearish,3,3,Gains
1,Bullish,3,0,Loses
1,Bullish,3,3,Loses
1,Bullish,3,3,Gains
1,Bullish,3,3,Loses
1,Bearish,3,2,Gains
1,Bearish,3,3,Gains
1,Bearish,3,3,Gains
1,Bullish,3,3,Loses
1,Bearish,3,2,Gains
1,Bullish,3,3,Loses
1,Bearish,3,3,Gains
1,Bearish,3,3,Gains
1,Bearish,3,2,Loses
1,Bearish,3,3,Gains
1,Bearish,3,2,Gains
1,Bullish,3,1,Loses
1,Bearish,3,2,Gains
1,Bearish,3,3,Gains
1,Bullish,3,3,Loses
1,Bullish,3,3,Gains
1,Bearish,3,3,Gains
1,Bearish,3,2,Loses
1,Bullish,3,3,Loses
1,Bullish,3,2,Loses
1,Bullish,3,0,Loses
1,Bearish,3,1,Loses
1,Bearish,3,0,Gains
1,Bearish,3,3,Gains
1,Bullish,3,1,Loses
1,Bearish,3,0,Gains
1,Bearish,3,3,Gains
1,Bullish,3,2,Gains
1,Bearish,3,3,Gains
1,Bearish,3,3,Gains
1,Bearish,3,3,Gains
1,Bearish,3,2,Gains
1,Bullish,3,3,Loses
1,Bearish,3,1,Loses
1,Bullish,3,3,Gains
1,Bullish,3,3,Gains
1,Bullish,3,3,Loses
1,Bearish,2,2,Gains
1,Bearish,2,1,Gains
1,Bullish,2,1,Loses
1,Bullish,2,3,Loses
1,Bearish,2,3,Gains
1,Bullish,2,2,Gains
1,Bullish,2,3,Loses
1,Bullish,3,2,Loses
1,Bullish,3,1,Loses
1,Bullish,2,1,Gains
1,Bullish,3,2,Loses
1,Bearish,3,2,Gains
1,Bullish,3,2,Loses
1,Bearish,3,2,Gains
1,Bullish,3,2,Loses
1,Bearish,3,2,Gains
1,Bullish,3,3,Loses
1,Bullish,3,3,Loses
1,Bullish,3,2,Gains
1,Bearish,3,2,Gains
1,Bearish,2,0,Gains
1,Bearish,2,3,Gains
1,Bearish,3,3,Loses
1,Bullish,3,0,Loses
1,Bearish,3,1,Gains
1,Bullish,3,3,Gains
1,Bullish,3,2,Gains
1,Bearish,3,2,Gains
1,Bearish,3,0,Gains
1,Bullish,3,3,Loses
1,Bullish,2,3,Loses
1,Bullish,2,2,Loses
1,Bullish,2,1,Gains
1,Bullish,2,2,Gains
1,Bearish,2,2,Gains
1,Bullish,2,1,Gains
1,Bearish,2,2,Loses
1,Bullish,2,2,Loses
1,Bullish,2,2,Loses
1,Bullish,2,3,Gains
1,Bullish,3,1,Loses
1,Bearish,3,1,Gains
1,Bearish,2,0,Loses
1,Bullish,2,2,Gains
1,Bullish,1,1,Loses
1,Bearish,1,1,Gains
1,Bullish,2,1,Loses
1,Bearish,1,3,Gains
1,Bullish,2,2,Gains
1,Bearish,2,2,Gains
1,Bullish,2,3,Loses
1,Bullish,1,2,Loses
1,Bearish,1,2,Gains
1,Bullish,1,1,Loses
1,Bullish,2,1,Loses
1,Bearish,2,3,Gains
1,Bullish,2,2,Loses
1,Bullish,1,1,Loses
1,Bearish,2,1,Gains
1,Bearish,1,1,Gains
1,Bullish,1,3,Loses
1,Bearish,2,1,Gains
1,Bullish,2,2,Gains
1,Bullish,2,3,Loses
1,Bearish,2,3,Loses
1,Bearish,2,0,Gains
1,Bullish,1,2,Gains
1,Bullish,1,1,Loses
1,Bearish,1,2,Gains
1,Bullish,1,1,Loses
1,Bullish,2,1,Loses
1,Bullish,1,1,Loses
1,Bullish,1,0,Loses
1,Bullish,1,3,Gains
1,Bearish,1,3,Gains
1,Bullish,1,1,Gains
1,Bullish,1,1,Loses
1,Bullish,2,1,Gains
1,Bullish,1,1,Loses
1,Bullish,1,1,Loses
1,Bullish,1,3,Loses
1,Bearish,1,2,Gains
1,Bullish,2,1,Loses
1,Bearish,2,2,Loses
1,Bullish,1,3,Loses
1,Bullish,2,2,Loses
1,Bearish,1,1,Gains
1,Bearish,1,1,Gains
1,Bearish,1,1,Gains
1,Bearish,1,1,Loses
1,Bearish,1,0,Loses
1,Bullish,2,1,Loses
1,Bearish,2,1,Gains
1,Bearish,2,2,Gains
1,Bearish,2,2,Gains
1,Bearish,2,0,Gains
1,Bearish,2,0,Loses
1,Bearish,2,1,Loses
1,Bearish,2,1,Gains
1,Bearish,2,1,Gains
1,Bullish,2,1,Loses
1,Bearish,2,1,Gains
1,Bearish,2,3,Gains
1,Bearish,2,3,Loses
1,Bearish,2,1,Gains
1,Bearish,2,2,Gains
1,Bearish,2,0,Gains
1,Bearish,2,0,Gains
1,Bearish,2,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,1,Loses
1,Bullish,2,2,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bearish,2,2,Gains
1,Bearish,2,1,Gains
1,Bearish,2,3,Gains
1,Bearish,2,1,Gains
1,Bearish,2,0,Loses
1,Bearish,2,1,Loses
1,Bearish,2,2,Gains
1,Bullish,2,1,Loses
1,Bearish,2,2,Gains
1,Bearish,2,2,Gains
1,Bearish,2,2,Gains
1,Bearish,2,1,Loses
1,Bearish,2,1,Gains
1,Bearish,2,1,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Gains
1,Bullish,2,0,Gains
1,Bullish,2,1,Gains
1,Bearish,2,1,Loses
1,Bearish,3,2,Gains
1,Bullish,3,2,Gains
1,Bullish,3,0,Loses
1,Bullish,3,2,Loses
1,Bullish,2,1,Gains
1,Bullish,2,1,Gains
1,Bullish,2,2,Loses
1,Bullish,2,0,Gains
1,Bullish,2,2,Loses
1,Bullish,2,1,Loses
1,Bullish,2,1,Loses
1,Bullish,2,1,Loses
1,Bullish,2,0,Loses
1,Bearish,2,1,Gains
1,Bearish,2,1,Gains
1,Bearish,2,2,Loses
1,Bearish,2,2,Gains
1,Bullish,2,2,Loses
1,Bullish,2,1,Loses
1,Bullish,2,2,Loses
1,Bearish,2,0,Gains
1,Bullish,3,1,Loses
1,Bearish,2,1,Gains
1,Bearish,2,1,Gains
1,Bearish,2,1,Gains
1,Bearish,2,0,Gains
1,Bearish,2,0,Gains
1,Bearish,1,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Gains
1,Bullish,2,0,Loses
1,Bullish,1,0,Loses
1,Bearish,1,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,1,Loses
1,Bearish,2,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,1,Gains
1,Bullish,2,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,0,Gains
1,Bullish,2,1,Gains
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bullish,2,1,Loses
1,Bearish,2,0,Gains
1,Bullish,2,0,Gains
1,Bullish,3,0,Gains
1,Bearish,2,0,Gains
1,Bearish,3,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bullish,2,0,Loses
1,Bearish,2,0,Loses
1,Bullish,2,0,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Gains
1,Bearish,3,0,Loses
1,Bearish,2,0,Gains
1,Bearish,3,0,Gains
1,Bullish,2,0,Loses
1,Bullish,2,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bullish,2,1,Loses
1,Bullish,2,1,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Loses
1,Bullish,2,1,Loses
1,Bullish,3,1,Loses
1,Bullish,3,0,Gains
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,2,0,Gains
1,Bullish,3,1,Loses
1,Bullish,2,1,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,1,Gains
1,Bearish,3,0,Loses
1,Bearish,3,0,Loses
1,Bearish,3,0,Loses
1,Bearish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Loses
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,0,Gains
1,Bearish,3,2,Gains
1,Bullish,3,2,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bullish,3,1,Loses
1,Bullish,3,1,Loses
1,Bullish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Gains
1,Bullish,3,0,Gains
1,Bullish,3,1,Loses
1,Bullish,3,0,Loses
1,Bullish,3,1,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bullish,3,0,Loses
1,Bearish,3,1,Loses
1,Bearish,3,0,Gains
1,Bullish,3,0,Loses
1,Bearish,3,0,Gains
1,Bearish,3,1,Gains
1,Bearish,3,1,Gains
1,Bearish,3,0,Loses
1,Bearish,3,0,Loses
